Algo,australian,heart,ionosphere,pima,wisconsin,iris,wine,vehicle,glass,baseball,dee,diabetese,friedman,mpg6
G_rmsprop_,0.8652173913043477,0.808641975308642,0.8976525821596245,0.7560606060606061,0.9555555555555554,0.9455555555555557,0.9472222222222219,0.6676470588235293,0.63953488372093,0.5906144787874666,0.7969241218010046,0.4100317833493869,0.7471532674143495,0.8491633426689199
G_adagrad_,0.8642512077294685,0.8209876543209874,0.8901408450704227,0.7497835497835498,0.9614035087719296,0.9277777777777778,0.9546296296296293,0.6490196078431372,0.5550387596899224,0.6243987882253133,0.8045817845190766,0.46129856812684655,0.7974377955973251,0.8539393004579914
G_nesterov_accelerated_gd_,0.8613526570048312,0.8172839506172839,0.8774647887323944,0.7534632034632036,0.952046783625731,0.9344444444444445,0.9379629629629628,0.6523529411764705,0.5999999999999999,0.5679024195198618,0.788842030744838,0.416126862021827,0.7959991844968205,0.8523250500745858
G_momentum_gd_,0.8620772946859904,0.8228395061728392,0.8755868544600941,0.7487012987012988,0.9514619883040935,0.9366666666666669,0.9324074074074075,0.6574509803921568,0.5945736434108526,0.5683129832125912,0.7884675564666579,0.4125163755903542,0.7902746910197691,0.8520660187565448
G_gd_,0.85,0.802469135802469,0.8431924882629109,0.7487012987012989,0.9423976608187136,0.9211111111111113,0.8999999999999998,0.6135294117647058,0.5488372093023254,0.4194056815328727,0.7737399048980562,0.31132807296277654,0.6819505107632323,0.8098793562801556
G_adam_,0.8328502415458936,0.7907407407407409,0.8239436619718311,0.7374458874458872,0.9391812865497077,0.9344444444444446,0.9064814814814814,0.5568627450980391,0.5666666666666665,0.48407196658598006,0.7347846935525161,0.2896741365469569,0.5649269957103583,0.7888417642138699
G_Avg_Parm_W,120.86666666666666,101.36666666666666,110.4,87.66666666666667,101.73333333333333,171.3,152.86666666666667,209.66666666666666,328.73333333333335,103.48,75.96,91.45,78.74074074074075,128.68
G_Best_Acc_G,0.9202898550724636,0.925925925925926,0.9859154929577464,0.8246753246753247,1.0,1.0,1.0,0.8,0.8372093023255814,0.7556671125568123,0.8659720543931744,0.5844593090468189,0.931646644768996,0.9019761473764552
G_Best_G_W,120,117,139,122,144,57,96,117,336,62,77,46,90,24
G_Algo_Best_of_G,"['_adagrad_', '_rmsprop_']","['_rmsprop_', '_adagrad_', '_momentum_gd_', '_nesterov_accelerated_gd_']","['_momentum_gd_', '_nesterov_accelerated_gd_']",['_adagrad_'],['_momentum_gd_'],"['_adam_', '_momentum_gd_', '_nesterov_accelerated_gd_', '_rmsprop_', '_rmsprop_', '_adagrad_', '_adam_', '_gd_', '_rmsprop_', '_adam_', '_rmsprop_', '_adagrad_', '_adam_', '_gd_', '_momentum_gd_', '_nesterov_accelerated_gd_', '_rmsprop_']","['_momentum_gd_', '_nesterov_accelerated_gd_', '_adagrad_', '_adagrad_', '_momentum_gd_', '_nesterov_accelerated_gd_', '_rmsprop_', '_adagrad_', '_rmsprop_', '_adagrad_', '_momentum_gd_', '_nesterov_accelerated_gd_', '_rmsprop_', '_adagrad_', '_adam_', '_adagrad_', '_gd_', '_momentum_gd_', '_adagrad_', '_rmsprop_', '_rmsprop_']",['_gd_'],['_rmsprop_'],['_adagrad_'],['_adagrad_'],['_adagrad_'],['_momentum_gd_'],['_momentum_gd_']
G_Time_tau,3.3816425120772964e-06,3.497942386831276e-06,3.677621283255086e-06,2.6334776334776338e-06,4.532163742690057e-06,1.7407407407407406e-05,5.4012345679012335e-06,6.405228758169936e-06,1.2015503875968996e-05,3.3333333333333325e-06,3.105022831050228e-06,3.0898876404494385e-06,2.3662551440329225e-06,4.135021097046415e-06
M_rmsprop_,0.8154589215914408,0.7611111104488373,0.9319248855113983,0.7116883198420206,0.9540935695171356,0.9477777679761251,0.9703703602155049,0.7707843124866486,0.6829457342624664,-3.016952273272985,-1.319738326769731,-1.7922098948356573,-2.788609392233491,-2.729497586352068
M_adagrad_,0.8669082085291545,0.8172839482625326,0.9032863895098369,0.7731601615746816,0.9713450253009797,0.9644444346427917,0.9731481413046519,0.7968627452850342,0.6596899251143138,0.6931877953842887,0.8077115660915627,0.48465000196332836,0.7832145468630024,0.8481567306897193
M_nesterov_accelerated_gd_,0.827777765194575,0.7882716039816539,0.5338028152783711,0.7311688323815664,0.9654970765113831,0.9544444342454275,0.982407401005427,0.770588235060374,0.6558139483133952,0.6269021889943257,0.8147807232140477,0.4070672133584805,0.9452517743433977,0.8547780746475926
M_momentum_gd_,0.8125603715578715,0.7685185194015502,0.5239436566829682,0.7054112553596497,0.9599415183067321,0.9599999864896138,0.9805555462837219,0.7499999985098839,0.6480620175600051,0.3638800546007582,0.8282001445492976,0.4473755993352004,0.9401395350640039,0.848518347092292
M_gd_,0.8270531296730042,0.7814814805984497,0.9178403735160827,0.7597402572631836,0.9654970725377401,0.9711111009120941,0.977777769168218,0.8431372503439586,0.6658914744853973,0.6657603960870702,0.8053446372772556,0.48689171435386747,0.8744621434946672,0.8481798576069085
M_adam_,0.8229468444983165,0.7796296298503875,0.5131455341974894,0.7103896121184031,0.9543859680493673,0.9577777604262034,0.9805555482705434,0.6892156889041264,0.5984496146440506,-3.2909439805285374,-5.026395649275403,-3.6625626564907976,-7.62344871660994,-5.456660911408687
M_Parm_W,1702,1602,3602,1102,3302,803,1703,2304,1606,1801,801,1201,701,701
M_Best_Acc_M,0.9130434989929199,0.9259259104728699,0.98591548204422,0.8311688303947449,1.0,1.0,1.0,0.8941176533699036,0.8139534592628479,0.823679184216189,0.903702555993367,0.6405509250925392,0.955634636524954,0.9106644952463214
M_Algo_Best_of_M,['Adagrad'],"['Adagrad', 'Adagrad']",['RMSprop'],['Adagrad'],"['Adam', 'Adagrad', 'SGD']","['MGD', 'SGD', 'Adagrad', 'Adam', 'MGD', 'Adagrad', 'RMSprop', 'SGD', 'Adagrad', 'Adam', 'RMSprop', 'NAG', 'Adam', 'MGD', 'NAG', 'SGD', 'RMSprop', 'Adagrad', 'NAG', 'RMSprop', 'SGD', 'NAG', 'SGD', 'Adam', 'MGD', 'SGD', 'MGD', 'RMSprop', 'Adagrad', 'Adam', 'NAG', 'SGD', 'Adagrad', 'SGD', 'Adagrad', 'SGD', 'Adagrad', 'MGD', 'NAG', 'SGD', 'SGD', 'MGD', 'Adagrad', 'NAG', 'RMSprop', 'SGD', 'Adagrad', 'MGD', 'SGD']","['Adam', 'MGD', 'NAG', 'Adagrad', 'Adam', 'NAG', 'RMSprop', 'SGD', 'Adam', 'MGD', 'NAG', 'Adam', 'Adam', 'MGD', 'NAG', 'RMSprop', 'RMSprop', 'SGD', 'Adagrad', 'MGD', 'SGD', 'Adagrad', 'Adam', 'MGD', 'NAG', 'Adagrad', 'MGD', 'NAG', 'Adam', 'NAG', 'Adagrad', 'RMSprop', 'Adam', 'MGD', 'SGD', 'Adam', 'NAG', 'SGD', 'Adagrad', 'MGD', 'NAG', 'SGD', 'NAG', 'RMSprop', 'Adam', 'MGD', 'NAG', 'NAG', 'Adam', 'RMSprop', 'Adagrad', 'Adam', 'SGD', 'Adagrad', 'MGD', 'NAG', 'SGD', 'MGD', 'NAG', 'SGD', 'Adagrad', 'NAG', 'RMSprop', 'SGD', 'Adam', 'RMSprop', 'SGD', 'Adagrad', 'NAG', 'MGD', 'RMSprop', 'SGD', 'MGD', 'RMSprop', 'Adagrad', 'Adam', 'MGD', 'NAG', 'RMSprop', 'SGD']","['Adagrad', 'SGD']",['MGD'],['MGD'],['NAG'],['NAG'],['NAG'],['NAG']
M_Time_tau,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script,tau_script
