index,G_rmsprop_,G_adagrad_,G_nesterov_accelerated_gd_,G_momentum_gd_,G_gd_,G_adam_,M_RMSprop,M_Adagrad,M_NAG,M_MGD,M_SGD,M_Adam
australian_mu,0.8652173913043477,0.8642512077294685,0.8613526570048312,0.8620772946859904,0.85,0.8328502415458936,0.8154589215914408,0.8669082085291545,0.827777765194575,0.8125603715578715,0.8270531296730042,0.8229468444983165
australian_std,0.03299372882400158,0.03595261353178601,0.03614348703556879,0.03326064545719865,0.040865613101558264,0.06317053758584969,0.028144549056162455,0.026470304903075628,0.030725119997050594,0.03381403721263523,0.03261471720168489,0.027817762567189423
heart_mu,0.808641975308642,0.8209876543209874,0.8172839506172839,0.8228395061728392,0.802469135802469,0.7907407407407409,0.7611111104488373,0.8172839482625326,0.7882716039816539,0.7685185194015502,0.7814814805984497,0.7796296298503875
heart_std,0.044660324291830936,0.03900679484789408,0.04287714745340911,0.040596322848494557,0.06602739714376574,0.064910529582413,0.052906173843789046,0.04905167637361438,0.0478187393080067,0.050010643470116224,0.0422287214977954,0.04571150528858541
ionosphere_mu,0.8976525821596245,0.8901408450704227,0.8774647887323944,0.8755868544600941,0.8431924882629109,0.8239436619718311,0.9319248855113983,0.9032863895098369,0.5338028152783711,0.5239436566829682,0.9178403735160827,0.5131455341974894
ionosphere_std,0.05029968311140799,0.04581105885520818,0.0569598995389182,0.0606737796013928,0.0626320666068317,0.0543291677601957,0.03247416251905026,0.04931080434898022,0.1614949575844393,0.14379618251334259,0.028670467813104117,0.15959178906397747
pima_mu,0.7560606060606061,0.7497835497835498,0.7534632034632036,0.7487012987012988,0.7487012987012989,0.7374458874458872,0.7116883198420206,0.7731601615746816,0.7311688323815664,0.7054112553596497,0.7597402572631836,0.7103896121184031
pima_std,0.02887330515150172,0.04183091006519949,0.03694922790424306,0.029395655248524864,0.035857507070378436,0.043129834912224024,0.03667736293633357,0.025174279559772424,0.03928066173829545,0.05339682049212797,0.038661323872261066,0.06384212453497672
wdbc_mu,0.9555555555555554,0.9614035087719296,0.952046783625731,0.9514619883040935,0.9423976608187136,0.9391812865497077,0.9540935695171356,0.9713450253009797,0.9654970765113831,0.9599415183067321,0.9654970725377401,0.9543859680493673
wdbc_std,0.024371982975574018,0.01989667752958879,0.024782229723739647,0.02456716436343279,0.02613197888376452,0.0227969326362059,0.03130580434489291,0.016600993910947614,0.019126062621027715,0.02477687723098937,0.018562858390856245,0.033175349111011394
iris_mu,0.9455555555555557,0.9277777777777778,0.9344444444444445,0.9366666666666669,0.9211111111111113,0.9344444444444446,0.9477777679761251,0.9644444346427917,0.9544444342454275,0.9599999864896138,0.9711111009120941,0.9577777604262034
iris_std,0.03444506240948565,0.04638943377292582,0.03553998701299399,0.03539595405153521,0.05569713759838915,0.04504857602397657,0.03883685451269412,0.03148110745566154,0.0355399860834085,0.03321819491143685,0.033600463867027794,0.030239572529055996
wine_mu,0.9472222222222219,0.9546296296296293,0.9379629629629628,0.9324074074074075,0.8999999999999998,0.9064814814814814,0.9703703602155049,0.9731481413046519,0.982407401005427,0.9805555462837219,0.977777769168218,0.9805555482705434
wine_std,0.04149068840536138,0.04406164972932347,0.039068641315166575,0.04233709251451569,0.07019707100872151,0.04810330459112882,0.02911835817435404,0.02678626308587361,0.023619097424080818,0.02082535961385488,0.02568765309348162,0.022066026485151574
vehicle_mu,0.6676470588235293,0.6490196078431372,0.6523529411764705,0.6574509803921568,0.6135294117647058,0.5568627450980391,0.7707843124866486,0.7968627452850342,0.770588235060374,0.7499999985098839,0.8431372503439586,0.6892156889041264
vehicle_std,0.06741958402590086,0.0764991884936964,0.06709315515608484,0.06980093968454554,0.08521749373524017,0.06795868487616166,0.04097263807930413,0.03757768774155639,0.1052040408891661,0.17232971052436447,0.029160523890887045,0.06215866537530824
glass_mu,0.63953488372093,0.5550387596899224,0.5999999999999999,0.5945736434108526,0.5488372093023254,0.5666666666666665,0.6829457342624664,0.6596899251143138,0.6558139483133952,0.6480620175600051,0.6658914744853973,0.5984496146440506
glass_std,0.08345989779647948,0.10591033148534969,0.09229870189799921,0.1004796934190742,0.09193428357783331,0.09451161633063637,0.0661965971383357,0.06703645238719906,0.054761524825360765,0.08631232376081235,0.06675766592071543,0.10071143169963057
baseball_mu,0.5906144787874666,0.6243987882253133,0.5679024195198618,0.5683129832125912,0.4194056815328727,0.48407196658598006,-3.016952273272985,0.6931877953842887,0.6269021889943257,0.3638800546007582,0.6657603960870702,-3.2909439805285374
baseball_std,0.09931199386269854,0.10747031395661222,0.13790211850061912,0.13774907038840323,0.13020016172002813,0.13246095458476742,7.700513218122757,0.07675765679657026,0.11117491076296734,0.5493919834074765,0.09047384176291999,5.606571539992294
dee_mu,0.7969241218010046,0.8045817845190766,0.788842030744838,0.7884675564666579,0.7737399048980562,0.7347846935525161,-1.319738326769731,0.8077115660915627,0.8147807232140477,0.8282001445492976,0.8053446372772556,-5.026395649275403
dee_std,0.0417254084654218,0.03934137302240735,0.046132833967772686,0.04648447719009552,0.0432039120563373,0.06195035034820711,3.0363061961350146,0.03821834067108154,0.039891020641658045,0.04631127194367618,0.04379620948197306,0.6031767652952186
diabetese_mu,0.4100317833493869,0.46129856812684655,0.416126862021827,0.4125163755903542,0.31132807296277654,0.2896741365469569,-1.7922098948356573,0.48465000196332836,0.4070672133584805,0.4473755993352004,0.48689171435386747,-3.6625626564907976
diabetese_std,0.08501401740968727,0.08677591279427901,0.09436966715139355,0.09073290401213298,0.10993851083543049,0.10543444573286231,3.0451831538877614,0.07241372664068693,0.10666536255666066,0.11186795019272604,0.07396636028303052,1.5022140679315337
friedman_mu,0.7471532674143495,0.7974377955973251,0.7959991844968205,0.7902746910197691,0.6819505107632323,0.5649269957103583,-2.788609392233491,0.7832145468630024,0.9452517743433977,0.9401395350640039,0.8744621434946672,-7.62344871660994
friedman_std,0.09632429602649595,0.09848279855649641,0.0975791097726781,0.1041255831830396,0.1399610884489619,0.1929710159303579,4.130984049092848,0.027237882337196703,0.006870434686854732,0.012880412634358736,0.03440278279767267,0.6989340884570713
mpg6_mu,0.8491633426689199,0.8539393004579914,0.8523250500745858,0.8520660187565448,0.8098793562801556,0.7888417642138699,-2.729497586352068,0.8481567306897193,0.8547780746475926,0.848518347092292,0.8481798576069085,-5.456660911408687
mpg6_std,0.04864257739630238,0.04115984109325113,0.04701282834936539,0.04737939013685534,0.06919216049937392,0.0991854488727753,4.719688595479017,0.028715354366794545,0.032515563705574575,0.051868531098587294,0.03214847003398199,2.8166285034447895
